ID,Title,description,streetaddress,state,amenityfeatures,Type,city,unclearaddress,Year,uncleartype,notes,dateadded,lastmodified
1,St. Elmo's,,36 Brewery Gulch Ave.,AZ,"(M),(HIP),(YC)",Bars/Clubs,Bisbee,,1980,,,4/20/2020 12:46am,7/27/2020 1:16pm
7,Band Box,,4516 N. 19th Ave. ,AZ,"(M),(S)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
14,Diamond Lil's ,(D.L's) ,3024 N. 24th St. ,AZ,"(*),(S)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
17,Fullmoon,(Disco) ,3108 E. McDowell Rd.,AZ,"(L),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
19,Incognito Lounge,(Some L) ,2424 E. Thomas Rd.,AZ,"(L),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
20,Le Casablanca,,4331 N. 16th St. ,AZ,"(S),(D),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
18,His Co. Disco,(2 bars-PT-Game room) (Disco) (Enter thru parking lot in rear),3839 N. 16th St.,AZ,"(*),(PT),(YC),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
21,Mr. Fatfingers,(WE*) (Mixed bag-Some OC-slow dancing),5749 N. 7th St.,AZ,"(WE),(*),(OC)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
27,Sportsmen Lounge,(Disco) (C-AH-WE*),4622 N. 7th St.,AZ,"(D),(PT),(C),(AH),(WE),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
26,Ramrod,(Sun. beer bust),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(PT)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
29,Talk of the Town,(Disco) ,3701 N. 16th St. ,AZ,"(L),(D),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
30,Three-O-Seven Lounge,,222 E. Roosevelt N. 3rd St.,AZ,"(OC),(PT)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
53,Congress,,311 E. Congress,AZ,"(M),(OC),(RT)",Bars/Clubs,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
54,Dale's Graduate,"(Some W, SM, FFA, OC, YC, Latins-'tops' during cocktail hour) ",23 W. University Blvd.,AZ,"(PT),(*),(W),(SM),(FFA),(OC),(YC)",Bars/Clubs,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
57,Jekyll's ,Last Culture (Disco) ( Some L) ,1455 N. Miracle Mile,AZ,"(*),(L),(S),(D),(PT),(YC)",Bars/Clubs,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
58,Joshua Tree,(Disco) (Open Wed. thru Sun.* ) Back Pocket (PT) in rear is open 7 nights ,2921 N. 1st Ave,AZ,"(YC),(D),(*)",Bars/Clubs,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
70,Mickey's Lounge,,400 S. Haskell,AZ,(M),Bars/Clubs,Wilcox,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
73,Sky Chief ,(Bar only-WE) ,1530 E. 32nd St.,AZ,"(M),(WE)",Bars/Clubs,Yuma,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
79,St. Elmo's,,36 Brewery Gulch Ave.,AZ,"(M),(HIP),(YC)",Bars/Clubs,Bisbee,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
84,Black & White,,7100 N. 7th St.,AZ,"(G),(D)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
87,Casa de Roma,,4331 N. 16th St.,AZ,"(S),(D),(*)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
92,Diamond Lil's ,(D.L's)  (Some G),3025 N. 24th St. ,AZ,"(*),(S),(G)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
95,His Co. Disco,(2 bars-PT-Game room) (Disco) (Enter thru parking lot in rear),3839 N. 16th St.,AZ,"(*),(PT),(YC),(D)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
97,Miss Matty's Attic,(Disco),3241 E. Shea,AZ,"(M),(D)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
99,Mr. Fatfingers,(WE*) (Mixed bag-Some OC-slow dancing),5749 N. 7th St.,AZ,"(WE),(*),(OC)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
103,Ramrod,(Sun. beer bust),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(PT)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
104,Sportsmen Lounge,(Disco) (C-AH-WE*) (Some G),4622 N. 7th St.,AZ,"(D),(PT),(C),(AH),(WE),(*),(G)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
106,Talk of the Town,(Disco),3701 N. 16th St. ,AZ,"(D),(*),(G)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
107,Three-O-Seven Lounge,,222 E. Roosevelt N. 3rd St.,AZ,"(OC),(PT)",Bars/Clubs,Phoenix,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
127,Congress,,311 E. Congress,AZ,"(M),(OC),(RT)",Bars/Clubs,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
131,Front Runner,(Mixed bag-many G) (WE*),2222 N. Stone,AZ,"(S),(D),(G)",Bars/Clubs,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
129,Dale's Graduate,"(Some W, SM, FFA, OC, YC, Latins-'tops' during cocktail hour) ",23 W. University Blvd.,AZ,"(PT),(*),(W),(SM),(FFA),(OC),(YC)",Bars/Clubs,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
133,Jekyll's ,Last Culture (Disco) ( Some G) ,1455 N. Miracle Mile,AZ,"(*),(S),(D),(PT),(YC),(G)",Bars/Clubs,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
134,Joshua Tree,"(Disco) (Open Wed., Fri. & Sat. only* ) Back Pocket (PT) in rear is open 7 nights ",2921 N. 1st Ave,AZ,"(YC),(D),(*)",Bars/Clubs,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
147,Mickey's Lounge,,400 S. Haskell,AZ,(M),Bars/Clubs,Wilcox,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
150,Sky Chief ,(Bar only-WE) ,1530 E. 32nd St.,AZ,"(M),(WE)",Bars/Clubs,Yuma,,1979,,,4/20/2020 9:18pm,7/27/2020 1:17pm
156,Bull Pen Lounge,,25 E. 16th St,AZ,(M),Bars/Clubs,Douglas,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
159,Side Door,,441 E. Main,AZ,"(M),(W)",Bars/Clubs,Mesa ,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
170,Diamond Lil's ,(D.L's)  (go-go boys),3025 N. 24th St. ,AZ,"(*),(S)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
176,Moon's Truck,(Some G) (Disco) (Enter through parking lot in rear) ( Tues. beer bust),3839 N. 16th St.,AZ,"(YC),(G),(D),(*)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
180,Ramrod,(Beer bust Sundays 5-8pm),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(PT),(*)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
181,Seventy-One Hundred North,(The Habit),7100 N. 7th St.,AZ,"(G),(D),(*)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
182,Sportsmen Lounge,(Disco) (also C-AH),4622 N. 7th St.,AZ,"(D),(PT),(C),(AH)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
184,Talk of the Town,(Some G),3701 N. 16th St. ,AZ,"(*),(G)",Bars/Clubs,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
204,Congress Bar,,311 E. Congress,AZ,(OC),Bars/Clubs,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
205,Dale's Place,(Formerly The Graduate Tues. night beer busts),23 W. University Blvd.,AZ,"(W),(D),(*)",Bars/Clubs,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
206,Esquire ,,225 E. Congress,AZ,"(M),(RT)",Bars/Clubs,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
210,Joshua Tree,"(Disco-D-Wed,. Fri. & Sat. nights only) ",2921 N. 1st Ave.,AZ,"(*),(YC),(D)",Bars/Clubs,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
212,P.S. ,"(Wed., Fri. & Sat. nights only-liquor, flicks, & 'wild back room')",2610 E. Ft. Lowell,AZ,"(AH),(*),(D),(PT)",Bars/Clubs,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
237,Connection,,4211 N. 7th St. ,AZ,(W),Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
240,Forum,,4132 E. McDowell Rd.,AZ,"(YC),(D)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
239,Diamond Lil's ,(D.L's)  (go-go boys),3025 N. 24th St. ,AZ,"(*),(S)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
241,Habit ,,7100 North 7th Street,AZ,"(G),(D),(*)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
242,Jerky Jerry's,,1622 Grand Avenue,AZ,"(W),(SM)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
244,Maggie's,"(Disco) (enter through parking lot in rear) (Tuesday ""beer bust"")",3839 North 16th Street,AZ,"(YC),(D),(PT),(*)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
250,Sportsmen Lounge,(Disco) (Some B) (Also C-AH),4622 North. 7th St.,AZ,"(*),(D),(B),(C),(AH)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
249,Ramrod,(Beer bust on Sundays 5-7pm),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(PT),(*)",Bars/Clubs,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
264,Graduate,(Formerly The Graduate Tues. night beer busts,23 West University Blvd.,AZ,"(W),(D),(*)",Bars/Clubs,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
267,Stonewall,"(Disco) (Wednesday-Friday- and Saturday only-adjoins ""The Back Pocket"" ",2921 N. 1st Avenue,AZ,"(*),(YC),(D)",Bars/Clubs,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
266,P.S. ,"(AH*) (Liquor-""flicks""- very 'wild back room')",2610 E. Ft. Lowell,AZ,"(AH),(*),(D),(PT)",Bars/Clubs,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
278,Sky Chief,(Bar only-WE),1530 E. 32nd,AZ,(M),Bars/Clubs,Yuma,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
291,Diamond Lil's ,(D.L's)  (go-go boys),3025 N. 24th St. ,AZ,(*),Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
292,Habit ,,7100 North 7th Street,AZ,"(G),(D),(*)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
295,Maggie's,(formerly Hedda's) (Disco),3839 N. 16th Street,AZ,"(YC),(D),(*)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
297,Ms. Fathers,,2825 N. Central,AZ,"(M),(RT)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
300,Ramrod,(beer bust on Sundays 5-7p.m),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(*)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
301,Sportsmen Lounge,(Disco) (Also (C) (AH) enter through rear parking lot),4622 N. 7th St.,AZ,"(*),(D),(C),(AH),(HIP),(RT)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
302,Sugar Shack,(Some G) ,4211 N. 7th St.,AZ,"(G),(D)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
304,Wild Willie's,,1622 Grand Ave.,AZ,"(W),(SM),(*)",Bars/Clubs,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
311,Graduate,,23 W University Blvd.,AZ,"(W),(D),(*)",Bars/Clubs,Tucson,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
312,River R,(Disco),3686 E. Speedway,AZ,"(HIP),(YC),(D),(*)",Bars/Clubs,Tucson,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
314,Stonewall,(Disco) ,2921 N. 1st Avenue,AZ,"(HIP),(YC),(D),(*)",Bars/Clubs,Tucson,,1976,,,4/20/2020 10:24pm,7/27/2020 1:17pm
323,Sky Chief,(Bar only-WE),1530 E. 32nd,AZ,(M),Bars/Clubs,Yuma,,1976,,,4/20/2020 10:24pm,7/27/2020 1:17pm
328,Casa de Roma,,4331 N. 16th St.,AZ,"(YC),(D),(S),(*)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
331,Habit ,,7100 N. 7th Street,AZ,"(G),(D)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
332,Happy Garden,,1008 E. Camelback Road,AZ,"(G),(D),(*)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
330,Diamond Lil's ,(also called 'D.L's') ,3025 N. 24th St. ,AZ,"(*),(D)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
333,Hedda's,(Disco) (Should be mindblowing when this opens in the spring of '74),3839 N. 16th Street,AZ,"(YC),(D),(*)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
334,Hide Out,,1622 Grand Avenue,AZ,"(W),(SM),(*)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
341,Sugar Shack,,4211 N. 7th St.,AZ,,Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
339,Ramrod,(beer bust Sundays 5-7 pm),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(*)",Bars/Clubs,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
345,Lola's,,11 E. 5th St.,AZ,(M),Bars/Clubs,Tempe,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
346,Varisty Lounge,,801. E. Apache,AZ,"(M),(YC)",Bars/Clubs,Tempe,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
348,Black Door ,,345 E. Toole,AZ,"(M),(RT)",Bars/Clubs,Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
353,Triangle Bar,(Some G),1413 E. Factory Avenue ,AZ,"(M),(G)",Bars/Clubs,Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
351,Graduate,,23 W. University Blvd.,AZ,"(W),(D),(*)",Bars/Clubs,Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
357,Casa de Roma,,4331 N. 16th St.,AZ,"(YC),(D),(*)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
359,Diamond Lil's ,(also called 'D.L's') ,3025 N. 24th St. ,AZ,"(*),(D),(YC)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
361,Hide Out,(new-looks promising),3426 W. Buckeye Rd.,AZ,"(W),(SM)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
360,Habit ,,7100 N. 7th Street,AZ,"(G),(D)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
365,Ramrod,,395 N. Black Canyon Rd. ,AZ,"(SM),(W),(*)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
367,S.S Jug,(Unisex),4101 E. Washington,AZ,"(YC),(D)",Bars/Clubs,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
373,Black Door ,,345 E. Toole,AZ,"(M),(RT)",Bars/Clubs,Tucson,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
375,Graduate,,23 W. University Blvd.,AZ,,Bars/Clubs,Tucson,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
380,Back Door,($1.00 adm. weekends after hours) (Behind Western Escape #2),2101 E. McDowell Rd.,AZ,"(P),(YC),(G),(S),(C),(*)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
376,Sir James,,4241 N. Oracle Rd.,AZ,"(D),(*)",Bars/Clubs,Tucson,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
377,Stonewall,,2921 N. 1st Avenue,AZ,"(YC),(D),(*)",Bars/Clubs,Tucson,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
381,Casa Roma,,4331 N. 16th St.,AZ,"(YC),(D),(*)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
382,Diamond Lil's ,,3025 N. 24th St. ,AZ,"(*),(D)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
383,Habit ,,7051 N. 7th Street,AZ,"(G),(D),(P)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
385,NuTown Saloon,(some (G),5002 E. Van Buren,AZ,(G),Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
386,Ramrod,,395 N. Black Canyon Rd. ,AZ,"(SM),(W),(*)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
387,Sportsmen Lounge, (Also coffee after hours next door),4622 N. 7th St.,AZ,"(*),(HIP),(YC),(D)",Bars/Clubs,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
390,Black Door ,,345 E. Toole,AZ,"(M),(RT)",Bars/Clubs,Tucson,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
393,Sir James,,4241 N. Oracle Rd.,AZ,"(YC),(D),(*)",Bars/Clubs,Tucson,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
