ID,Title,description,streetaddress,city,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Hotel Sanadora,(Natives) (Some L),15 mi. S. of San Juan,Aguas Buenas,"(D),(WE),(L)",Bars/Clubs,,,1980,,4/27/2020 5:37pm,4/27/2020 6:58pm
4,El Cid,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1980,,4/27/2020 5:39pm,4/27/2020 6:59pm
6,Abbey,(Some L) (Disco) (Upstairs $3 minimum),251 Calle Cruz at Calle Fortaleza,San Juan,"(D),(*),(YC),(L)",Bars/Clubs,,,1980,,4/27/2020 6:12pm,4/27/2020 6:59pm
7,Arcos Blancos Guest House,,10 Carrion Ct.,Condado,(*),Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
8,Atlantic Beach Hotel,(Beach bar & rooftop disco),1 Calle Vendig,San Juan,(*),Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
9,Bachelor Club,,112 Avenida Condado,Condado,"(D),(*)",Bars/Clubs,,,1980,,4/27/2020 6:14pm,4/27/2020 6:59pm
10,Blow Hole,('Wild back room' - best late),51 Ave. Barranquitas,San Juan,(*),Bars/Clubs,,,1980,,4/27/2020 6:15pm,4/27/2020 6:59pm
13,Condad Guest House,,6 Condado Ave.,Condado,(H),Hotels,,,1980,,4/27/2020 6:21pm,4/27/2020 6:59pm
15,El Canario Guest House,,1317 Ashford Ave.,Condado,,Bars/Clubs,,,1980,,4/27/2020 6:22pm,4/27/2020 6:59pm
16,Hotel Lindomar,,4 Condado Ave.,Condado,"(M),(H),(OC)",Hotels,,,1980,,4/27/2020 6:22pm,4/27/2020 6:59pm
17,La Bahia Guest House,,320 Calle Sol,San Juan,"(M),(H),(*)",Hotels,,,1980,,4/27/2020 6:23pm,4/27/2020 6:59pm
18,La Vista Guest House,(also rooftop bar & R),151 Calle Tetuan,San Juan,"(R),(H),(*)","Hotels,Bars/Clubs,Restaurant",,,1980,,4/27/2020 6:23pm,4/27/2020 6:59pm
19,Lion of St. Mark's Baths,(Above Lion's Den),205 Calle Luna,San Juan,,Baths,,,1980,,4/27/2020 6:24pm,4/27/2020 6:59pm
20,Lion's Den,($3 min. - nude go go boys - 'Flicks') (adj. Lion's Disco),205 Calle Luna,San Juan,"(YC),(D)",Bars/Clubs,,,1980,,4/27/2020 6:25pm,4/27/2020 6:59pm
21,Little Club ,(Closes 3 am) ,607 Ponce de Leon Ave.,Miramar,(OC),Bars/Clubs,,,1980,,4/27/2020 6:25pm,4/27/2020 6:59pm
22,Lutece Guest House,,1 Atlantic Pl. off McLeary ,Condado,(*),Bars/Clubs,,,1980,,4/27/2020 6:28pm,4/27/2020 6:59pm
23,Main Street,(E in back room) (Opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(E),(*),(OC)",Bars/Clubs,,,1980,,4/27/2020 6:28pm,4/27/2020 6:59pm
24,Maria's,(Mexican R) (Bar & patio),204 Calle Cristo,San Juan,"(M),(R)",Restaurant,,,1980,,4/27/2020 6:30pm,4/27/2020 6:59pm
25,Michael's Thing Cabaret,,1020 Ashford Ave.,Condado,"(E),(*)",Bars/Clubs,,,1980,,4/27/2020 6:32pm,4/27/2020 6:59pm
26,Penthouse Club,($3. adm.) (Some locals - FFA 'flicks'),1019 Ashford Ave.,Condado,"(*),(D),(FFA)",Bars/Clubs,,,1980,,4/27/2020 6:33pm,4/27/2020 6:59pm
27,Ray's Bar,"(Some B, RT) (Disco)",161 Calle San Jose,San Juan,"(D),(RT),(B)",Bars/Clubs,,,1980,,4/27/2020 6:52pm,4/27/2020 6:59pm
28,Sam's Patio,(Open 'til 1 am),102 Calle San Sebastian,San Juan,"(M),(*),(R),(E)","Bars/Clubs,Restaurant",,,1980,,4/27/2020 6:53pm,4/27/2020 6:59pm
29,San Francisco Inn,(Bar - Some SM),263 Calle San Francisco,San Juan,"(*),(H),(R),(SM)","Restaurant,Hotels",,,1980,,4/27/2020 6:54pm,4/27/2020 6:59pm
31,Small World,(Opens 11 am - best at cocktail hour),250 Calle San Jose,San Juan,(E),Bars/Clubs,,,1980,,4/27/2020 6:55pm,4/27/2020 6:59pm
32,Terrace,(above Condado Guest House),6 Condado Ave.,San Juan,"(R),(*)",Restaurant,,,1980,,4/27/2020 6:55pm,4/27/2020 6:59pm
33,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1980,,4/27/2020 6:56pm,4/27/2020 6:59pm
40,Hotel Sanadora,(Some G) (Natives),15 mi. S. of San Juan,Aguas Buenas,"(D),(G),(WE)",Bars/Clubs,,,1979,,4/27/2020 6:59pm,4/27/2020 8:03pm
43,El Cid,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1979,,4/27/2020 7:00pm,4/27/2020 8:03pm
45,Abbey,(Some G) (Disco) (Upstairs - $3 minimum),251 Calle Cruz at Calle Fortaleza,San Juan,"(YC),(G),(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:01pm,4/27/2020 8:03pm
46,Arcos Blancos Guest House,,10 Carrion Ct.,Condado,(*),Bars/Clubs,,,1979,,4/27/2020 7:02pm,4/27/2020 8:03pm
47,Bachelor Club,,112 Avenida Condado,Condado,"(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:02pm,4/27/2020 8:03pm
50,Condado Guest House,,6 Condado Ave.,Condado,(H),Hotels,,,1979,,4/27/2020 7:03pm,4/27/2020 8:03pm
52,Hotel Lindomar,,4 Condado Ave.,Condado,"(M),(H),(OC)","Hotels,Bars/Clubs",,,1979,,4/27/2020 7:04pm,4/27/2020 8:03pm
53,La Bahia Guest House,,320 Calle Sol,San Juan,"(M),(H),(*)",Hotels,,,1979,,4/27/2020 7:04pm,4/27/2020 8:03pm
54,La Vista Guest House,(also rooftop bar & R),151 Calle Tetuan,San Juan,"(H),(*),(R)","Hotels,Restaurant",,,1979,,4/27/2020 7:05pm,4/27/2020 8:03pm
55,Lion of St. Mark's Baths,(Above Lion's Den),205 Calle Luna,San Juan,,Baths,,,1979,,4/27/2020 7:06pm,4/27/2020 8:03pm
56,Lion's Den ,($3. min. - nude go go boys - 'flicks') (adj. Lion's Disco),205 Calle Luna,San Juan,"(YC),(D)",Bars/Clubs,,,1979,,4/27/2020 7:06pm,4/27/2020 8:03pm
57,Little Club,(Closes 3 a.m.),607 Ponce de Leon Ave.,Miramar,(OC),Bars/Clubs,,,1979,,4/27/2020 7:07pm,4/27/2020 8:03pm
58,Lutece Guest House,,1 Atlantic Pl. off McLeary ,Condado,(*),Bars/Clubs,,,1979,,4/27/2020 7:07pm,4/27/2020 8:03pm
59,Main Street Bar,(E in back room) (Opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(E),(*),(OC)",Bars/Clubs,,,1979,,4/27/2020 7:08pm,4/27/2020 8:03pm
60,Maria's ,(Mexican R) (Bar & Patio),204 Calle Cristo,San Juan,"(M),(R)",Restaurant,,,1979,,4/27/2020 7:09pm,4/27/2020 8:03pm
61,Penthouse Club,($3. adm.) (Some locals - FFA 'flicks'),1019 Ashford Ave.,Condado,"(*),(D),(FFA)",Bars/Clubs,,,1979,,4/27/2020 7:09pm,4/27/2020 8:03pm
62,Ray's Bar,"(Some B, RT) (Disco)",161 Calle San Jose,San Juan,"(B),(RT),(D)",Bars/Clubs,,,1979,,4/27/2020 7:11pm,4/27/2020 8:03pm
63,Sam's Patio,(Open 'til 1 a.m.),102 Calle San Sebastian,San Juan,"(M),(R),(E),(*)",Restaurant,,,1979,,4/27/2020 7:11pm,4/27/2020 8:03pm
64,San Francisco Inn,(Bar - Some SM),263 Calle San Francisco,San Juan,"(H),(R),(*),(SM)","Restaurant,Hotels",,,1979,,4/27/2020 7:12pm,4/27/2020 8:03pm
65,Small World,(Opens 11 a.m. - best at cocktail hour),250 Calle San Jose,San Juan,(E),Bars/Clubs,,,1979,,4/27/2020 7:12pm,4/27/2020 8:03pm
66,Ten Twenty Club,"(Opens 3 p.m.) (Some W, SM, levis)",1020 A Ashford Ave.,Condado,"(W),(*),(SM)",Bars/Clubs,,,1979,,4/27/2020 7:13pm,4/27/2020 8:03pm
67,Tommy's,"(Disco) (Nude go go boys, 'flicks' & wild back room)",254 Calle San Justo nr. Fortaleza,San Juan,"(D),(*)",Bars/Clubs,,,1979,,4/27/2020 7:59pm,4/27/2020 8:03pm
75,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1978,,4/27/2020 8:07pm,4/27/2020 8:09pm
81,Hotel Senadora ,(Some G) (Locally popular WE),15 mi. S. of San Juan,Aguas Buenas,"(D),(G)",Bars/Clubs,,,1977,,4/27/2020 8:23pm,4/27/2020 11:33pm
85,El Cid Club,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1977,,4/27/2020 8:24pm,4/27/2020 11:33pm
88,Abbey,(Some G) (Disco) (Upstairs $3.00 minimum) ,251 Calle Cruz nr. Calle Fortaleza,San Juan,"(YC),(G),(D),(*)",Bars/Clubs,,,1977,,4/27/2020 8:25pm,4/27/2020 11:33pm
89,Amanda's ,(Bar & patio),204 Calle Cristo,San Juan,"(M),(R)",Restaurant,,,1977,,4/27/2020 8:25pm,4/27/2020 11:33pm
90,Arcos Blancos Guest House,,10 Carrion Court,Condado,"(M),(H)",Hotels,,,1977,,4/27/2020 9:08pm,4/27/2020 11:33pm
91,Bachelor Club,(Looks promising),112 Avenida Condado,Condado,(D),Bars/Clubs,,,1977,,4/27/2020 9:08pm,4/27/2020 11:33pm
93,Cabaret,,253 Calle San Jose,San Juan,(S),Bars/Clubs,,,1977,,4/27/2020 9:09pm,4/27/2020 11:33pm
95,Club Caleta Guest House,,3 Elena St. nr. Condado,Condado,"(H),(*)",Hotels,,,1977,,4/27/2020 9:10pm,4/27/2020 11:33pm
96,Condado Guest House,,6 Condado Ave.,Condado,(H),Hotels,,,1977,,4/27/2020 9:10pm,4/27/2020 11:33pm
98,Dona Sue's,,101 Calle Tetuan ,San Juan,"(M),(RT),(AYOR)",Bars/Clubs,,,1977,,4/27/2020 9:10pm,4/27/2020 11:33pm
99,El Mar Guest House,(Rooftop bar) ,1 Calle Clemenceau,Condado,(H),Hotels,,,1977,,4/27/2020 9:11pm,4/27/2020 11:33pm
97,El Morro Guest House,,103 Calle San Sebastian,San Juan,(H),Hotels,,,1977,,4/27/2020 9:10pm,4/27/2020 11:33pm
101, Finocchio's ,(Rooftop bar R above La Vista Guest House),151 Calle Tetuan nr. San Jose,San Juan,(R),Restaurant,,,1977,,4/27/2020 9:12pm,4/27/2020 11:33pm
102,Hotel Lindomar,,4 Condado Ave.,Condado,"(M),(H),(OC)",Hotels,,,1977,,4/27/2020 9:13pm,4/27/2020 11:33pm
103,La Bahia Guest House,,320 Calle Sol,San Juan,"(H),(AYOR)",Hotels,,,1977,,4/27/2020 9:13pm,4/27/2020 11:33pm
104,La Buena Mesa,,365 Calle Tetuan,San Juan,"(M),(R)",Restaurant,,,1977,,4/27/2020 9:14pm,4/27/2020 11:33pm
105,La Vista Guest House,(see also Finocchio's),151 Calle Tetuan,San Juan,"(H),(*)",Hotels,,,1977,,4/27/2020 9:15pm,4/27/2020 11:33pm
106,Lion of St. Mark's Discobath,"(opens 8 p.m., above Rialto Theatre)",152 Calle Tanca,San Juan,,Baths,,,1977,,4/27/2020 9:15pm,4/27/2020 11:33pm
107,Lion's Den,"($3.00 minimum - nude go-go boys - ""flicks"" and ""wild"" back room)",205 Calle Luna betw. La Cruz & San Cristo,San Juan,,Bars/Clubs,,,1977,,4/27/2020 9:16pm,4/27/2020 11:33pm
108,Little Club,(closes 3 a.m.),607 Ponce de Leon Avenue ,Miramar,,Bars/Clubs,,,1977,,4/27/2020 9:17pm,4/27/2020 11:33pm
111,Main Street Bar,E in back room - opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(OC),(*),(E)",Bars/Clubs,,,1977,,4/27/2020 9:18pm,4/27/2020 11:33pm
113,Old San Juan Apartments,,149-A Calle San Justo (P.O. Box 2144),San Juan,(H),Hotels,,,1977,,4/27/2020 9:19pm,4/27/2020 11:33pm
114,Oscar,(Natives) ,1708 Calle San Mateo nr. Ponce de Leon & San Jorge,Santurce,"(RT),(*),(D)",Bars/Clubs,,,1977,,4/27/2020 11:26pm,4/27/2020 11:33pm
116,Plaza Patio,(Opens 12 noon),409 Calle San Francisco,San Juan,"(M),(OC),(R),(RT)",Restaurant,,,1977,,4/27/2020 11:27pm,4/27/2020 11:33pm
117,Ray's Bar,(Some B) (Disco),161 Calle San Jose,San Juan,"(B),(RT)",Bars/Clubs,,,1977,,4/27/2020 11:27pm,4/27/2020 11:33pm
118,Rosemary's By The Sea,,1125 Seaview St.,Condado,(H),Hotels,,,1977,,4/27/2020 11:27pm,4/27/2020 11:33pm
119,Sam's Patio (Patio de Sam),(Open until 1 a.m.),102 Calle San Francisco,San Juan,"(E),(M),(R),(*)",Restaurant,,,1977,,4/27/2020 11:28pm,4/27/2020 11:33pm
120,San Francisco Inn,(also bar from 5 p.m.),263 Calle San Francisco,San Juan,"(H),(R),(*)","Hotels,Restaurant",,,1977,,4/27/2020 11:28pm,4/27/2020 11:33pm
121,Small World,(Opens 11 a.m. - best during cocktail hour),250 Calle San Jose nr. Fortaleza,San Juan,(E),Bars/Clubs,,,1977,,4/27/2020 11:29pm,4/27/2020 11:33pm
122,Stop 204 ,(also P small guest house above),204 Calle Cristo,San Juan,(P),Bars/Clubs,,,1977,,4/27/2020 11:29pm,4/27/2020 11:33pm
123,Ten Twenty Club,(Opens 3 p.m.) ,1020 A Ashford Avenue ,Condado,"(*),(E)",Bars/Clubs,,,1977,,4/27/2020 11:30pm,4/27/2020 11:33pm
124,Tommy's,"(Disco) (Nude go-go boys, 'flicks', and ""wild"" back room)",254 San Justo between Fortaleza & Tetuan,San Juan,"(D),(*)",Bars/Clubs,,,1977,,4/27/2020 11:30pm,4/27/2020 11:33pm
125,Top of the Aquarium ,(upstairs) (natives),255 Calle San Justo,San Juan,"(G),(YC),(D),(*)",Bars/Clubs,,,1977,,4/27/2020 11:31pm,4/27/2020 11:33pm
126,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1977,,4/27/2020 11:32pm,4/27/2020 11:33pm
132,Hotel Senadora,(Some G) (Locally popular WE),15 Mi. S. of San Juan,Aguas Buenas,"(D),(G),(WE)",Bars/Clubs,,,1976,,4/27/2020 11:33pm,4/27/2020 11:34pm
133,Arturo's Limon Guest House,(if you dig native 'teenie boppers' - this is the place - P.O. Box 428 - Tel: 832-7002),105 Limon Rd.,Mayaguez,(H),Hotels,,,1976,,4/27/2020 11:34pm,4/28/2020 12:02am
137,El Cid Club,,43 Calle Luna,Ponce,(M),Bars/Clubs,,,1976,,4/27/2020 11:37pm,4/28/2020 12:02am
140,Abbey,(Some G) (Disco) (upstairs - $3.00 min.),251 Calle Cruz nr. Calle Fortaleza,San Juan,"(G),(YC),(D),(*)",Bars/Clubs,,,1976,,4/27/2020 11:37pm,4/28/2020 12:02am
141,Arcos Blancos Guest House,,10 Carrion Ct. ,Condado,"(M),(H)",Hotels,,,1976,,4/27/2020 11:38pm,4/28/2020 12:02am
143,Cabaret,,253 Calle San Jose,San Juan,(S),Bars/Clubs,,,1976,,4/27/2020 11:39pm,4/28/2020 12:02am
144,Club Caleta Guest House,(nr. Condado),3 Elena St.,Condado,"(H),(*)",Hotels,,,1976,,4/27/2020 11:40pm,4/28/2020 12:02am
145,Dick's ,(Disco) ($3.00) (Locally known as 'Dirty Dick's' - should be called 'Big Dicks' if you consider the go-go boys who 'perform' on stage behind the back bar - also flicks & wild back room - upstairs),254 Calle San Justo betw. Fortaleza & Tetuan,San Juan,"(D),(*)",Bars/Clubs,,,1976,,4/27/2020 11:40pm,4/28/2020 12:02am
146,Dona Sue's,,101 Calle Tetuan,San Juan,"(M),(RT),(AYOR)",Bars/Clubs,,,1976,,4/27/2020 11:42pm,4/28/2020 12:02am
147,Don's Upstairs ,(looks promising - upstairs - opp. Hyatt La Concha Hotel),1102 Ashford Ave. ,Condado,"(OC),(E)",Bars/Clubs,,,1976,,4/27/2020 11:42pm,4/28/2020 12:02am
149,El Mar Guest House & Rooftop bar ,,1 Calle Clemenceau ,Condado,(H),Hotels,,,1976,,4/27/2020 11:43pm,4/28/2020 12:02am
150,El Morro Guest House,,103 Calle San Sebastian,San Juan,(H),Hotels,,,1976,,4/27/2020 11:44pm,4/28/2020 12:02am
152,El TIki,,204 Calle Luna ,San Juan,"(R),(*)",Restaurant,,,1976,,4/27/2020 11:45pm,4/28/2020 12:02am
153,Finocchio's,(Rooftop bar & R above La Vista Guest House),151 Calle Tetuan nr. San Jose,San Juan,(R),Restaurant,,,1976,,4/27/2020 11:46pm,4/28/2020 12:02am
154,Hotel Lindomar,,4 Condado Av. ,Condado,"(M),(H),(OC)",Hotels,,,1976,,4/27/2020 11:47pm,4/28/2020 12:02am
155,Jeanie's Little Club,(military),607 Ponce de Leon Ave.,Miramar,"(M),(RT)",Bars/Clubs,,,1976,,4/27/2020 11:47pm,4/28/2020 12:02am
156,La Bahia Guest House,,320 Calle Sol.,San Juan,"(H),(AYOR)",Hotels,,,1976,,4/27/2020 11:48pm,4/28/2020 12:02am
157,La Buena Mesa,,365 Calle Tetuan,San Juan,"(M),(R)",Restaurant,,,1976,,4/27/2020 11:48pm,4/28/2020 12:02am
158,La Vista Guest House,(see also Finocchio's),151 Calle Tetuan ,San Juan,"(H),(*)",Hotels,,,1976,,4/27/2020 11:48pm,4/28/2020 12:02am
159,Lion of St. Mark's Discobath,(opens 8 pm - above Rialto Theatre),152 Calle Tanca,San Juan,,Baths,,,1976,,4/27/2020 11:49pm,4/28/2020 12:02am
160,Lion's Den,($3.00 min. - nude go-go boys - 'flicks' & wild back room),205 Calle Luna betw. La Cruz & San Cristo,San Juan,,Bars/Clubs,,,1976,,4/27/2020 11:49pm,4/28/2020 12:02am
162,Little Penthouse,(upstairs FFA 'flicks' - $3.00 min - 'tops' in Condado - some natives),1019 Ashford Ave.,Condado,"(D),(*),(FFA)",Bars/Clubs,,,1976,,4/27/2020 11:50pm,4/28/2020 12:02am
163,Main Street Bar,(E in back room - opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(OC),(*),(E)",Bars/Clubs,,,1976,,4/27/2020 11:51pm,4/28/2020 12:02am
164,Manny's,,109 Calle San Sebastian,San Juan,"(M),(R)",Restaurant,,,1976,,4/27/2020 11:52pm,4/28/2020 12:02am
165,Old San Juan Apts. ,(P.O. Box 2144),149 A Calle San Justo ,San Juan,(H),Hotels,,,1976,,4/27/2020 11:52pm,4/28/2020 12:02am
166,Oscar,(Natives) ,1708 Calle San Mateo nr. Ponce de Leon & San Jorge ,Santurce,"(RT),(D),(*)",Bars/Clubs,,,1976,,4/27/2020 11:53pm,4/28/2020 12:02am
168,Plaza Patio ,(opens 12 noon),409 Calle San Francisco,San Juan,"(M),(R),(OC),(RT)",Restaurant,,,1976,,4/27/2020 11:54pm,4/28/2020 12:02am
169,Ray's Bar ,(Some B),161 Calle San Jose,San Juan,"(B),(RT)",Bars/Clubs,,,1976,,4/27/2020 11:54pm,4/28/2020 12:02am
170,Rosemary's By The Sea,,1125 Seaview St.,Condado,(H),Hotels,,,1976,,4/27/2020 11:55pm,4/28/2020 12:02am
171,Sam's Patio (El Patio de Sam),(open until 1 am),102 Calle San Sebastian,San Juan,"(M),(R),(*)",Restaurant,,,1976,,4/27/2020 11:55pm,4/28/2020 12:02am
